Time (Nanoseconds),Array Size (MegaBytes),St eps,Increment
31,1,67108864,16
34,2,67108864,16
31,3,67108864,16
33,4,67108864,16
32,5,67108864,16
33,6,67108864,16
33,7,67108864,16
44,8,67108864,16
31,9,67108864,16
32,10,67108864,16
32,11,67108864,16
44,12,67108864,16
33,13,67108864,16
48,14,67108864,16
43,15,67108864,16
62,16,67108864,16
31,17,67108864,16
32,18,67108864,16
32,19,67108864,16
40,20,67108864,16
33,21,67108864,16
39,22,67108864,16
38,23,67108864,16
70,24,67108864,16
33,25,67108864,16
39,26,67108864,16
38,27,67108864,16
71,28,67108864,16
38,29,67108864,16
68,30,67108864,16
62,31,67108864,16
71,32,67108864,16
