Time (Microseconds),Array Size (Bytes),Steps,Increment
0,0,0,0
0,1024,1024,16
1,2048,2048,32
2,3072,3072,48
2,4096,4096,64
3,5120,5120,80
4,6144,6144,96
5,7168,7168,112
5,8192,8192,128
6,9216,9216,144
7,10240,10240,160
8,11264,11264,176
8,12288,12288,192
9,13312,13312,208
10,14336,14336,224
10,15360,15360,240
11,16384,16384,256
12,17408,17408,272
13,18432,18432,288
13,19456,19456,304
15,20480,20480,320
15,21504,21504,336
15,22528,22528,352
16,23552,23552,368
18,24576,24576,384
18,25600,25600,400
18,26624,26624,416
19,27648,27648,432
20,28672,28672,448
21,29696,29696,464
22,30720,30720,480
23,31744,31744,496
23,32768,32768,512
23,33792,33792,528
25,34816,34816,544
25,35840,35840,560
26,36864,36864,576
26,37888,37888,592
28,38912,38912,608
28,39936,39936,624
29,40960,40960,640
30,41984,41984,656
30,43008,43008,672
31,44032,44032,688
31,45056,45056,704
35,46080,46080,720
33,47104,47104,736
34,48128,48128,752
35,49152,49152,768
35,50176,50176,784
36,51200,51200,800
36,52224,52224,816
37,53248,53248,832
40,54272,54272,848
40,55296,55296,864
40,56320,56320,880
41,57344,57344,896
41,58368,58368,912
43,59392,59392,928
43,60416,60416,944
44,61440,61440,960
44,62464,62464,976
47,63488,63488,992
46,64512,64512,1008
46,65536,65536,1024
47,66560,66560,1040
48,67584,67584,1056
48,68608,68608,1072
50,69632,69632,1088
51,70656,70656,1104
51,71680,71680,1120
51,72704,72704,1136
52,73728,73728,1152
53,74752,74752,1168
54,75776,75776,1184
56,76800,76800,1200
55,77824,77824,1216
56,78848,78848,1232
56,79872,79872,1248
57,80896,80896,1264
64,81920,81920,1280
59,82944,82944,1296
60,83968,83968,1312
61,84992,84992,1328
61,86016,86016,1344
62,87040,87040,1360
63,88064,88064,1376
63,89088,89088,1392
65,90112,90112,1408
65,91136,91136,1424
65,92160,92160,1440
66,93184,93184,1456
70,94208,94208,1472
70,95232,95232,1488
69,96256,96256,1504
69,97280,97280,1520
70,98304,98304,1536
71,99328,99328,1552
71,100352,100352,1568
72,101376,101376,1584
